Site,Label,concepticonReference,Concepticon_Gloss
701,to_walk-169,1443,WALK
702,to_walk-170,1443,WALK
703,to_walk-171,1443,WALK
704,to_walk-172,1443,WALK
705,to_walk-173,1443,WALK
706,to_walk-174,1443,WALK
707,to_walk-175,1443,WALK
708,to_walk-176,1443,WALK
709,to_walk-177,1443,WALK
710,to_walk-178,1443,WALK
711,to_walk-179,1443,WALK
712,to_walk-180,1443,WALK
713,to_walk-181,1443,WALK
714,to_walk-182,1443,WALK
715,to_walk-183,1443,WALK
716,to_walk-184,1443,WALK
717,to_walk-185,1443,WALK
718,to_walk-186,1443,WALK
719,to_walk-187,1443,WALK
720,to_walk-188,1443,WALK
721,to_walk-189,1443,WALK
722,to_walk-190,1443,WALK
723,to_walk-191,1443,WALK
724,to_walk-192,1443,WALK
725,to_walk-193,1443,WALK
726,to_walk-194,1443,WALK
727,to_walk-195,1443,WALK
728,road_path-1,2457,PATH OR ROAD
729,road_path-2,2457,PATH OR ROAD
730,road_path-3,2457,PATH OR ROAD
731,road_path-4,2457,PATH OR ROAD
732,road_path-5,2457,PATH OR ROAD
733,road_path-6,2457,PATH OR ROAD
734,road_path-7,2457,PATH OR ROAD
735,road_path-8,2457,PATH OR ROAD
736,road_path-9,2457,PATH OR ROAD
737,road_path-10,2457,PATH OR ROAD
738,road_path-11,2457,PATH OR ROAD
739,road_path-12,2457,PATH OR ROAD
740,road_path-13,2457,PATH OR ROAD
741,road_path-14,2457,PATH OR ROAD
742,road_path-15,2457,PATH OR ROAD
743,road_path-16,2457,PATH OR ROAD
744,road_path-17,2457,PATH OR ROAD
745,road_path-18,2457,PATH OR ROAD
746,road_path-19,2457,PATH OR ROAD
747,road_path-20,2457,PATH OR ROAD
748,road_path-21,2457,PATH OR ROAD
749,road_path-22,2457,PATH OR ROAD
750,road_path-23,2457,PATH OR ROAD
751,road_path-24,2457,PATH OR ROAD
752,road_path-25,2457,PATH OR ROAD
753,road_path-26,2457,PATH OR ROAD
754,road_path-27,2457,PATH OR ROAD
755,road_path-28,2457,PATH OR ROAD
756,road_path-29,2457,PATH OR ROAD
757,road_path-30,2457,PATH OR ROAD
758,road_path-31,2457,PATH OR ROAD
759,road_path-32,2457,PATH OR ROAD
760,road_path-33,2457,PATH OR ROAD
761,road_path-34,2457,PATH OR ROAD
762,road_path-35,2457,PATH OR ROAD
763,road_path-36,2457,PATH OR ROAD
764,road_path-37,2457,PATH OR ROAD
765,road_path-38,2457,PATH OR ROAD
766,road_path-39,2457,PATH OR ROAD
767,road_path-40,2457,PATH OR ROAD
768,road_path-41,2457,PATH OR ROAD
769,road_path-42,2457,PATH OR ROAD
770,road_path-43,2457,PATH OR ROAD
771,road_path-44,2457,PATH OR ROAD
772,road_path-45,2457,PATH OR ROAD
773,road_path-46,2457,PATH OR ROAD
774,road_path-47,2457,PATH OR ROAD
775,road_path-48,2457,PATH OR ROAD
776,road_path-49,2457,PATH OR ROAD
777,road_path-50,2457,PATH OR ROAD
778,road_path-51,2457,PATH OR ROAD
779,road_path-52,2457,PATH OR ROAD
780,road_path-53,2457,PATH OR ROAD
781,road_path-54,2457,PATH OR ROAD
782,road_path-55,2457,PATH OR ROAD
783,road_path-56,2457,PATH OR ROAD
784,road_path-57,2457,PATH OR ROAD
785,road_path-58,2457,PATH OR ROAD
786,road_path-59,2457,PATH OR ROAD
787,road_path-60,2457,PATH OR ROAD
788,road_path-61,2457,PATH OR ROAD
789,road_path-62,2457,PATH OR ROAD
790,road_path-63,2457,PATH OR ROAD
791,road_path-64,2457,PATH OR ROAD
792,road_path-65,2457,PATH OR ROAD
793,road_path-66,2457,PATH OR ROAD
794,road_path-67,2457,PATH OR ROAD
