ID,Name,Description,ColumnSpec,Nexus_File,Concepticon_ID,Concepticon_Gloss
420,leg_foot-70,,,data,2098,FOOT OR LEG
421,leg_foot-71,,,data,2098,FOOT OR LEG
422,leg_foot-72,,,data,2098,FOOT OR LEG
423,leg_foot-73,,,data,2098,FOOT OR LEG
424,leg_foot-74,,,data,2098,FOOT OR LEG
425,leg_foot-75,,,data,2098,FOOT OR LEG
426,leg_foot-76,,,data,2098,FOOT OR LEG
427,leg_foot-77,,,data,2098,FOOT OR LEG
428,leg_foot-78,,,data,2098,FOOT OR LEG
429,leg_foot-79,,,data,2098,FOOT OR LEG
430,leg_foot-80,,,data,2098,FOOT OR LEG
431,leg_foot-81,,,data,2098,FOOT OR LEG
432,leg_foot-82,,,data,2098,FOOT OR LEG
433,leg_foot-83,,,data,2098,FOOT OR LEG
434,leg_foot-84,,,data,2098,FOOT OR LEG
435,leg_foot-85,,,data,2098,FOOT OR LEG
436,leg_foot-86,,,data,2098,FOOT OR LEG
437,leg_foot-87,,,data,2098,FOOT OR LEG
438,leg_foot-88,,,data,2098,FOOT OR LEG
439,leg_foot-89,,,data,2098,FOOT OR LEG
440,leg_foot-90,,,data,2098,FOOT OR LEG
441,leg_foot-91,,,data,2098,FOOT OR LEG
442,leg_foot-92,,,data,2098,FOOT OR LEG
443,leg_foot-93,,,data,2098,FOOT OR LEG
444,leg_foot-94,,,data,2098,FOOT OR LEG
445,leg_foot-95,,,data,2098,FOOT OR LEG
446,leg_foot-96,,,data,2098,FOOT OR LEG
447,leg_foot-97,,,data,2098,FOOT OR LEG
448,leg_foot-98,,,data,2098,FOOT OR LEG
449,leg_foot-99,,,data,2098,FOOT OR LEG
450,leg_foot-100,,,data,2098,FOOT OR LEG
451,leg_foot-101,,,data,2098,FOOT OR LEG
452,leg_foot-102,,,data,2098,FOOT OR LEG
453,leg_foot-103,,,data,2098,FOOT OR LEG
454,leg_foot-104,,,data,2098,FOOT OR LEG
455,leg_foot-105,,,data,2098,FOOT OR LEG
456,leg_foot-106,,,data,2098,FOOT OR LEG
457,leg_foot-107,,,data,2098,FOOT OR LEG
458,leg_foot-108,,,data,2098,FOOT OR LEG
459,leg_foot-109,,,data,2098,FOOT OR LEG
460,leg_foot-110,,,data,2098,FOOT OR LEG
461,leg_foot-111,,,data,2098,FOOT OR LEG
462,leg_foot-112,,,data,2098,FOOT OR LEG
463,leg_foot-113,,,data,2098,FOOT OR LEG
464,leg_foot-114,,,data,2098,FOOT OR LEG
465,leg_foot-115,,,data,2098,FOOT OR LEG
466,leg_foot-116,,,data,2098,FOOT OR LEG
467,leg_foot-117,,,data,2098,FOOT OR LEG
468,leg_foot-118,,,data,2098,FOOT OR LEG
469,leg_foot-119,,,data,2098,FOOT OR LEG
470,leg_foot-120,,,data,2098,FOOT OR LEG
471,leg_foot-121,,,data,2098,FOOT OR LEG
472,leg_foot-122,,,data,2098,FOOT OR LEG
473,leg_foot-123,,,data,2098,FOOT OR LEG
474,leg_foot-124,,,data,2098,FOOT OR LEG
475,leg_foot-125,,,data,2098,FOOT OR LEG
476,leg_foot-126,,,data,2098,FOOT OR LEG
477,leg_foot-127,,,data,2098,FOOT OR LEG
478,leg_foot-128,,,data,2098,FOOT OR LEG
479,leg_foot-129,,,data,2098,FOOT OR LEG
480,leg_foot-130,,,data,2098,FOOT OR LEG
481,leg_foot-131,,,data,2098,FOOT OR LEG
482,leg_foot-132,,,data,2098,FOOT OR LEG
